Word,Conversions,Hops
SPY,SPY SPA STY,3
SPY,SPY SPA STY SOY SNY SLY,6
SPY,SPY SPA STY SOY,4
SPY,SPY SPA STY SOY SNY,5
SPY,SPY SPA,2
SPY,SPY SPA STY SOY SNY SLY SHY,7
SPY,SPY SPA STY SOY SNY SLY SHY SAY,8
TED,TED TEW TEN TEK TEG TEE TEA,7
TED,TED TEW,2
TED,TED TEW TEN TEK TEG TEE TEA TOD WED RED PED,11
TED,TED TEW TEN TEK TEG TEE TEA TOD WED RED,10
TED,TED TEW TEN TEK,4
TED,TED TEW TEN,3
TED,TED TEW TEN TEK TEG TEE,6
TED,TED TEW TEN TEK TEG,5
TED,TED TEW TEN TEK TEG TEE TEA TOD WED RED PED LED,12
TED,TED TEW TEN TEK TEG TEE TEA TOD,8
TED,TED TEW TEN TEK TEG TEE TEA TOD WED,9
ZIF,ZIF ZIP LIF,3
ZIF,ZIF ZIP LIF GIF,4
ZIF,ZIF ZIP,2
OOP,OOP TOP SOP POP LOP,5
OOP,OOP TOP SOP POP LOP KOP,6
OOP,OOP TOP SOP,3
OOP,OOP TOP SOP POP LOP KOP HOP,7
OOP,OOP TOP,2
OOP,OOP TOP SOP POP,4
STY,STY SOY SNY SLY,4
STY,STY SOY,2
STY,STY SOY SNY,3
STY,STY SOY SNY SLY SHY,5
STY,STY SOY SNY SLY SHY SAY,6
LIF,LIF LIT LIP LIN LIM LIG LIE LIB,8
LIF,LIF LIT LIP LIN LIM,5
LIF,LIF LIT LIP LIN,4
LIF,LIF LIT,2
LIF,LIF LIT LIP,3
LIF,LIF LIT LIP LIN LIM LIG,6
LIF,LIF LIT LIP LIN LIM LIG LIE LIB GIF,9
LIF,LIF LIT LIP LIN LIM LIG LIE,7
LIB,LIB LIT LIP LIN LIM,5
LIB,LIB LIT LIP LIN,4
LIB,LIB LIT,2
LIB,LIB LIT LIP,3
LIB,LIB LIT LIP LIN LIM LIG,6
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB,11
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB NIB JIB GIB,14
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB NIB JIB,13
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB NIB,12
LIB,LIB LIT LIP LIN LIM LIG LIE LOB,8
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB NIB JIB GIB FIB DIB,16
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB NIB JIB GIB FIB DIB BIB,17
LIB,LIB LIT LIP LIN LIM LIG LIE,7
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB RIB NIB JIB GIB FIB,15
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB SIB,10
LIB,LIB LIT LIP LIN LIM LIG LIE LOB LAB,9
LIM,LIM LIT LIP LIN,4
LIM,LIM LIT,2
LIM,LIM LIT LIP,3
LIM,LIM LIT LIP LIN LIG,5
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM RIM,10
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM RIM NIM HIM GIM,13
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM RIM NIM HIM GIM DIM AIM,15
LIM,LIM LIT LIP LIN LIG LIE LUM,7
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM RIM NIM HIM GIM DIM,14
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM,9
LIM,LIM LIT LIP LIN LIG LIE,6
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM RIM NIM HIM,12
LIM,LIM LIT LIP LIN LIG LIE LUM LAM,8
LIM,LIM LIT LIP LIN LIG LIE LUM LAM VIM RIM NIM,11
LIN,LIN LIT,2
LIN,LIN LIT LIP,3
LIN,LIN LIT LIP LIG LIE LYN,6
LIN,LIN LIT LIP LIG,4
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN,9
LIN,LIN LIT LIP LIG LIE LYN YIN,7
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN,11
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN KIN HIN GIN,15
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN KIN HIN GIN FIN DIN,17
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN KIN,13
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN KIN HIN GIN FIN DIN BIN,18
LIN,LIN LIT LIP LIG LIE,5
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN KIN HIN,14
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN KIN HIN GIN FIN,16
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN,10
LIN,LIN LIT LIP LIG LIE LYN YIN WIN,8
LIN,LIN LIT LIP LIG LIE LYN YIN WIN TIN SIN PIN NIN,12
LIT,LIT LIP,2
LIT,LIT LIP LIG,3
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT,11
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT,14
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT GIT,15
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT GIT FIT,16
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT,13
LIT,LIT LIP LIG LIE LOT LET,6
LIT,LIT LIP LIG LIE LOT LET LAT YIT,8
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT,9
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT GIT FIT DIT CIT,18
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT GIT FIT DIT CIT BIT AIT,20
LIT,LIT LIP LIG LIE LOT,5
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT GIT FIT DIT,17
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT KIT HIT GIT FIT DIT CIT BIT,19
LIT,LIT LIP LIG LIE,4
LIT,LIT LIP LIG LIE LOT LET LAT,7
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT,10
LIT,LIT LIP LIG LIE LOT LET LAT YIT WIT SIT RIT NIT,12
LIP,LIP LIG LIE LOP LEP LAP TIP SIP RIP PIP,10
LIP,LIP LIG,2
LIP,LIP LIG LIE LOP LEP LAP TIP,7
LIP,LIP LIG LIE LOP LEP LAP TIP SIP RIP,9
LIP,LIP LIG LIE LOP LEP LAP TIP SIP,8
LIP,LIP LIG LIE LOP LEP,5
LIP,LIP LIG LIE LOP,4
LIP,LIP LIG LIE LOP LEP LAP TIP SIP RIP PIP NIP KIP HIP GIP,14
LIP,LIP LIG LIE LOP LEP LAP TIP SIP RIP PIP NIP KIP,12
LIP,LIP LIG LIE,3
LIP,LIP LIG LIE LOP LEP LAP TIP SIP RIP PIP NIP KIP HIP,13
LIP,LIP LIG LIE LOP LEP LAP,6
YEN,YEN YEX YEW YET YES YER YEA,7
YEN,YEN YEX,2
