word,conversion,chain length
TOMBAC,TAMBAC,1
SILKEN,MILKEN,1
GAITER,BAITER,1
GAITER,GARTER,1
GAITER,GASTER,1
GAITER,GAILER,1
GAITER,GAINER,1
GAITER,GAITED,1
WINTER,CINTER,1
WINTER,MINTER,1
WINTER,SINTER,1
WINTER,WINCER,1
WINTER,WINDER,1
WINTER,WINGER,1
WINTER,WINNER,1
FRETUM,FRENUM,1
DEMAND,REMAND,1
IMBAND,IMBANK,1
IMBANK,EMBANK,1
IMBANK,IMBARK,1
JIGGER,BIGGER,1
JIGGER,DIGGER,1
JIGGER,NIGGER,1
JIGGER,SIGGER,1
JIGGER,JAGGER,1
JIGGER,JOGGER,1
JIGGER,JUGGER,1
CENSOR,SENSOR,1
CENSOR,TENSOR,1
CENSOR,CESSOR,1
CENSOR,CENSER,1
VIROSE,VINOSE,1
VIROSE,VIROLE,1
EXCITE,EXCIDE,1
EXCITE,EXCISE,1
AVENOR,AVENER,1
NUSTLE,BUSTLE,1
NUSTLE,HUSTLE,1
NUSTLE,JUSTLE,1
NUSTLE,RUSTLE,1
NUSTLE,NESTLE,1
RESOUN,RESOWN,1
PINTLE,PINGLE,1
PINTLE,PINULE,1
LOGGED,HOGGED,1
LOGGED,LEGGED,1
LOGGED,LODGED,1
LOGGED,LOGGER,1
DODMAN,HODMAN,1
REAVER,BEAVER,1
REAVER,HEAVER,1
REAVER,LEAVER,1
REAVER,WEAVER,1
REAVER,REIVER,1
REAVER,REAMER,1
REAVER,REARER,1
OBLATE,OBLITE,1
WRASSE,BRASSE,1
BIGEYE,BISEYE,1
SHAKER,SHADER,1
SHAKER,SHAMER,1
SHAKER,SHARER,1
SHAKER,SHAVER,1
OUTVIE,OUTLIE,1
POLITE,IOLITE,1
POLITE,PORITE,1
POLITE,POLICE,1
POLITE,POLIVE,1
JINGLE,CINGLE,1
JINGLE,DINGLE,1
JINGLE,GINGLE,1
JINGLE,LINGLE,1
JINGLE,MINGLE,1
JINGLE,PINGLE,1
JINGLE,SINGLE,1
JINGLE,JANGLE,1
JINGLE,JUNGLE,1
JINGLE,JIGGLE,1
LOSING,NOSING,1
LOSING,LORING,1
LOSING,LOWING,1
SKELET,SCELET,1
SADDLE,DADDLE,1
SADDLE,FADDLE,1
SADDLE,PADDLE,1
SADDLE,RADDLE,1
SADDLE,WADDLE,1
COOLER,POOLER,1
COOLER,COOPER,1
FUNDUS,FONDUS,1
FUNDUS,FUNGUS,1
BANDOG,BANDON,1
BANDON,RANDON,1
MAINLY,GAINLY,1
MAINLY,VAINLY,1
LOAFER,LOADER,1
CHEESY,CHEEKY,1
TIMELY,TAMELY,1
GRIVET,PRIVET,1
INGIRT,ENGIRT,1
STRENE,SERENE,1
STRENE,SIRENE,1
RUINER,RUNNER,1
WAMBLE,FAMBLE,1
WAMBLE,GAMBLE,1
WAMBLE,HAMBLE,1
WAMBLE,RAMBLE,1
WAMBLE,WIMBLE,1
WAMBLE,WABBLE,1
